parnumber,maf,cat,cat3,cap,pkg,val,dff,
C1206N271J102T,HEC,电容,,270pF,,1000V,±5%,
C1206X103K201T,HEC,电容,,10nF,,200V,±10%,
C0805N820J101T,HEC,电容,,82pF,805,100V,±5%,
C1206N680J102T,HEC,电容,,68pF,,1000V,±5%,
C0805N471J501T,HEC,电容,,470pF,805,500V,±5%,
C1206N101J202T,HEC,电容,,100pF,,2000V,±5%,
C0603X223K101T,HEC,电容,,22nF,603,100V,±10%,
1206B683K251,WTC,电容,,68nF,,250V,±10%,
C1808N680J302T,HEC,电容,,68pF,,3000V,±5%,
C1812X102K202T,HEC,电容,,1nF,,2000V,±10%,
C1812N331J202T,HEC,电容,,330pF,,2000V,±5%,
C1210X104K251T,HEC,电容,,100nF,,250V,±10%,
C0805X103K101T,HEC,电容,,10nF,805,100V,±10%,
C1206X222K201T,HEC,电容,,2.2nF,,200V,±10%,
C1206X273K631T,HEC,电容,,27nF,,630V,±10%,
C0805X102K501T,HEC,电容,,1nF,805,500V,±10%,
C1210N473K101T,HEC,电容,,47nF,,100V,±10%,
C1808X681K302T,HEC,电容,,680pF,,3000V,±10%,
C1206N332J631T,HEC,电容,,3.3nF,,630V,±5%,
C1206X222K501T,HEC,电容,,2.2nF,,500V,±10%,
C1210X103K102T,HEC,电容,,10nF,,1000V,±10%,
1808B102K202,WTC,电容,,1nF,,2KV,±10%,
C1206N152K631T,HEC,电容,,1.5nF,,630V,±10%,
C1210N561J102T,HEC,电容,,560pF,,1000V,±5%,
1206B471K501,WTC,电容,,470pF,,500V,±10%,
C1206X152K202T,HEC,电容,,1.5nF,,2000V,±10%,
C1206N103K101T,HEC,电容,,10nF,,100V,±10%,
C1206N102J501T,HEC,电容,,1nF,,500V,±5%,
C1210X224K101T,HEC,电容,,220nF,,100V,±10%,
C1808X102M502T0,HEC,电容,,1nF,,5000V,±20%,
1206B102K251,WTC,电容,,1nF,,250V,±10%,
1206B222K101,WTC,电容,,2.2nF,,100V,±10%,
C1206X472K501T,HEC,电容,,4.7nF,,500V,±10%,
C1206N103J101T,HEC,电容,,10nF,,100V,±5%,
C1206N221J202T,HEC,电容,,220pF,,2000V,±5%,
C1206X223K101T,HEC,电容,,22nF,,100V,±10%,
C1808X471K302T,HEC,电容,,470pF,,3000V,±10%,
C1210X224K251T,HEC,电容,,220nF,,250V,±10%,
C1206N560J102T,HEC,电容,,56pF,,1000V,±5%,
C0805X331K251T,HEC,电容,,330pF,805,250V,±10%,
C1206N820J102T,HEC,电容,,82pF,,1000V,±5%,
C1206X222K202T,HEC,电容,,2.2nF,,2000V,±10%,
C1206N681J102T,HEC,电容,,680pF,,1000V,±5%,
C1206X472K102T,HEC,电容,,4.7nF,,1000V,±10%,
C1206X821K102T,HEC,电容,,820pF,,1000V,±10%,
C1206X224K251T,HEC,电容,,220nF,,250V,±10%,
C1206X221K501T,HEC,电容,,220pF,,500V,±10%,
C1808N331J202T,HEC,电容,,330pF,,2000V,±5%,
0805B331K101,WTC,电容,,330pF,805,100V,±10%,
C1206X224K201T,HEC,电容,,220nF,,200V,±10%,
C1210X222K202T,HEC,电容,,2.2nF,,2000V,±10%,
C1206X563K501T,HEC,电容,,56nF,,500V,±10%,
0805N470J501,WTC,电容,,47pF,805,500V,±5%,
C0805N101J201T,HEC,电容,,100pF,805,200V,±5%,
C1206N680J202T,HEC,电容,,68pF,,2000V,±5%,
0805B152K631,WTC,电容,,1.5nF,805,630V,±10%,
0603B223K101,WTC,电容,,22nF,603,100V,±10%,
C1210X225M101TX,HEC,电容,,2.2uF,,100V,±20%,
C1206X472K202T,HEC,电容,,4.7nF,,2000V,±10%,
C1206X561K102T,HEC,电容,,560pF,,1000V,±10%,
C1206X221K251T,HEC,电容,,220pF,,250V,±10%,
C1206X333K631T,HEC,电容,,33nF,,630V,±10%,
C1206N471J102T,HEC,电容,,470pF,,1000V,±5%,
C1812X103K102T,HEC,电容,,10nF,,1000V,±10%,
C1210X473K501T,HEC,电容,,47nF,,500V,±10%,
C0805X103K251T,HEC,电容,,10nF,805,250V,±10%,
C0805X223K251T,HEC,电容,,22nF,805,250V,±10%,
C1812X274K101T,HEC,电容,,270nF,,100V,±10%,
C1812X682K102T,HEC,电容,,6.8nF,,1000V,±10%,
C1812X824K101T,HEC,电容,,820nF,,100V,±10%,
C2021X151K302T,HEC,电容,,150pF,,3000V,±10%,
C2211X151K302T,HEC,电容,,150pF,,3000V,±10%,
CT81N5Y5V1B102MSE,FH,电容,,1nF,,1KV,±20%,
C1812X561K502T,HEC,电容,,560pF,,5000V,±10%,
C2021X561K502T,HEC,电容,,560pF,,5000V,±10%,
CT81M10Y5P1D222KSE,FH,电容,,2.2nF,,2KV,±10%,
C1812N682J501T,HEC,电容,,6.8nF,,500V,±5%,
C1812X332K202T,HEC,电容,,3.3nF,,2000V,±10%,
C1210X104M501T,HEC,电容,,100nF,,500V,±20%,
C1812X682K202T,HEC,电容,,6.8nF,,2000V,±10%,
C1206N102J102T,HEC,电容,,1nF,,1000V,±5%,
C1210X102K102T,HEC,电容,,1nF,,1000V,±10%,
0805N102J201,WTC,电容,,1nF,805,200V,±5%,
1812B334K251,WTC,电容,,330nF,,250V,±10%,
C1210X104M351T,HEC,电容,,100nF,,350V,±20%,
C1812X332K302T,HEC,电容,,3.3nF,,3000V,±10%,
C1206X474K101T,HEC,电容,,470nF,,100V,±10%,
C1812N102J202T,HEC,电容,,1nF,,2000V,±5%,
C1812X471K102T,HEC,电容,,470pF,,1000V,±10%,
C1206X273K501T,HEC,电容,,27nF,,500V,±10%,
C1808N330J302T,HEC,电容,,33pF,,3000V,±5%,
C1812X334K251T,HEC,电容,,330nF,,250V,±10%,
CC0805KKX7RBBB103,YAGEO,电容,,0.01uF,,500VDC,±10%,
0805B222K501,WTC,电容,,2.2nF,805,500V,±10%,
1210B223K501,WTC,电容,,22nF,,500V,±10%,
C1206X221K102T,HEC,电容,,220pF,,1000V,±10%,
C1210X223K102T,HEC,电容,,22nF,,1000V,±10%,
C1812X473K102T,HEC,电容,,47nF,,1000V,±10%,
C1206N470J102T,HEC,电容,,47pF,,1000V,±5%,
C1210X473K102T,HEC,电容,,47nF,,1000V,±10%,
C1812X224K251T,HEC,电容,,220nF,,250V,±10%,
C1206N222K631T,HEC,电容,,2.2nF,,630V,±10%,
C1206X272K501T,HEC,电容,,2.7nF,,500V,±10%,
C1206X334K101T,HEC,电容,,330nF,,100V,±10%,
1206B152K501,WTC,电容,,1.5nF,,500V,±10%,
1210B474K251,WTC,电容,,470nF,,250V,±10%,
C1812X105K101T,HEC,电容,,1uF,,100V,±10%,
C1206X103K202T,HEC,电容,,10nF,,2000V,±10%,
CT81P12Y5V4D103MTE,FH,电容,,10nF,,3KV,±20%,
C0805N101J501T,HEC,电容,,100pF,805,500V,±5%,
C1206X473K501T,HEC,电容,,47nF,,500V,±10%,
C1812N102J302T,HEC,电容,,1nF,,3000V,±5%,
C1812X105K251T,HEC,电容,,1uF,,250V,±10%,
C1812X472K202T,HEC,电容,,4.7nF,,2000V,±10%,
C1812X474K501T,HEC,电容,,470nF,,500V,±10%,
C1812X222K202T,HEC,电容,,2.2nF,,2000V,±10%,
C1812N683K101T,HEC,电容,,68nF,,100V,±10%,
C1812X471K202T,HEC,电容,,470pF,,2000V,±10%,
C1812X824K451T,HEC,电容,,820nF,,450V,±10%,
C1812X684K451T,HEC,电容,,680nF,,450V,±10%,
1206B103K101,WTC,电容,,10nF,,100V,±10%,
C1206X104K251T,HEC,电容,,100nF,,250V,±10%,
C1812X104K501T,HEC,电容,,100nF,,500V,±10%,
C1206N5R0C102T,HEC,电容,,5pF,,1000V,±5%,
C1206X102K201T,HEC,电容,,1nF,,200V,±10%,
C1812N104K101T,HEC,电容,,100nF,,100V,±10%,
C1812X474K451T,HEC,电容,,470nF,,450V,±10%,
C1812X102K102T,HEC,电容,,1nF,,1000V,±10%,
C1210X683K631T,HEC,电容,,68nF,,630V,±10%,
C1206X222K102T,HEC,电容,,2.2nF,,1000V,±10%,
C0805X102K102T,HEC,电容,,1nF,805,1000V,±10%,
C1206X223K501T,HEC,电容,,22nF,,500V,±10%,
1206B223K631,WTC,电容,,22nF,,630V,±10%,
C1206X225K101T,HEC,电容,,2.2uF,,100V,±10%,
C1206N100J102T,HEC,电容,,10pF,,1000V,±5%,
C1206X223K631T,HEC,电容,,22nF,,630V,±10%,
C1210X474M251T,HEC,电容,,470nF,,250V,±20%,
CT81N9Y5V1B103MSE,FH,电容,,10nF,,1KV,±20%,
0603B102K101,WTC,电容,,1nF,603,100V,±10%,
0603N101J101,WTC,电容,,100pF,603,100V,±5%,
0805B471K101,WTC,电容,,470pF,805,100V,±10%,
0805B681K201,WTC,电容,,680pF,805,200V,±10%,
0805B681K251,WTC,电容,,680pF,805,250V,±10%,
1206B104K201,WTC,电容,,100nF,,200V,±10%,
1206B152K251,WTC,电容,,1.5nF,,250V,±10%,
1206B471K102,WTC,电容,,470pF,,1KV,±10%,
1206N220J102,WTC,电容,,22pF,,1KV,±5%,
1206N470J102,WTC,电容,,47pF,,1KV,±5%,
1206CG5R0C102NT,FH,电容,,5.0pF,,1KV,,
2220B105K201NT,FH,电容,,1uF,,200V,±10%,
C0805N121J251T,HEC,电容,,120pF,805,250V,±5%,
C0805N332K251T,HEC,电容,,3.3nF,805,250V,±10%,
C0805N470J201T,HEC,电容,,47pF,805,200V,±5%,
C0805X103K501T,HEC,电容,,10nF,805,500V,±10%,
CT81N5Y5P1B471KSE,FH,电容,,470pF,,1KV,±10%,
CT81N7Y5V1B472MSE,FH,电容,,4.7nF,,1KV,±20%,
P278SJ333M480A,KEMET,电容,,0.033uF,,1kVDC,±20%,
25SVF100M,Panasonic,电容,,100uF,,25VDC,±20%,
104PPA850K,Illinois Capacitor / CDE,电容,,0.1uF,,850VDC,±10%,
HHXC350ARA680MF80G,United Chemi-Con,电容,,68uF,,35VDC,±20%,
50SVF10M,Panasonic,电容,,10uF,,50VDC,±20%,
HHXC500ARA101MJA0G,United Chemi-Con,电容,,100uF,,50VDC,±20%,
25SVF47M,Panasonic,电容,,47uF,,25VDC,±20%,
HHXC160ARA151MF80G,United Chemi-Con,电容,,150uF,,16VDC,±20%,
50SVF68M,Panasonic,电容,,68uF,,50VDC,±20%,
25SVF330M,Panasonic,电容,,330uF,,25VDC,±20%,
16SEF1000M,Panasonic,电容,,1000uF,,16VDC,±20%,
HHXC350ARA220ME61G,United Chemi-Con,电容,,22uF,,35VDC,±20%,
25SVF82M,Panasonic,电容,,82uF,,25VDC,±20%,
HHXA500ARA470MHA0G,United Chemi-Con,电容,,47uF,,50VDC,±20%,
16SEF560M,Panasonic,电容,,560uF,,16VDC,±20%,
HHXC630ARA820MJA0G,United Chemi-Con,电容,,82uF,,63VDC,±20%,
P295BL272M500A,KEMET,电容,,2700pF,,1.5kVDC,±20%,
25SVF180M,Panasonic,电容,,180uF,,25VDC,±20%,
HHXC500ARA220MF61G,United Chemi-Con,电容,,22uF,,50VDC,±20%,
P295BQ392M500A,KEMET,电容,,3900pF,,1.5kVDC,±20%,
25SVF27M,Panasonic,电容,,27uF,,25VDC,±20%,
HHXC350ARA151MHA0G,United Chemi-Con,电容,,150uF,,35VDC,±20%,
16SEF270M,Panasonic,电容,,270uF,,16VDC,±20%,
25SVF56M,Panasonic,电容,,56uF,,25VDC,±20%,
HHXC350ARA470MF80G,United Chemi-Con,电容,,47uF,,35VDC,±20%,
P295BL332M500A,KEMET,电容,,3300pF,,1.5kVDC,±20%,
25SEF56M,Panasonic,电容,,56uF,,25VDC,±20%,
P295BE681M500A,KEMET,电容,,680pF,,1.5kVDC,±20%,
P295BJ152M500A,KEMET,电容,,1500pF,,1.5kVDC,±20%,
50SVF39M,Panasonic,电容,,39uF,,50VDC,±20%,
P295BL252M500A,KEMET,电容,,2500pF,,1.5kVDC,±20%,
25SEF180M,Panasonic,电容,,180uF,,25VDC,±20%,
P278EL154M480A,KEMET,电容,,0.15uF,,1kVDC,±20%,
HHXC250ARA560MF61G,United Chemi-Con,电容,,56uF,,25VDC,±20%,
50SVF18M,Panasonic,电容,,18uF,,50VDC,±20%,
HHXC500ARA330MF80G,United Chemi-Con,电容,,33uF,,50VDC,±20%,
HHXC250ARA470MF61G,United Chemi-Con,电容,,47uF,,25VDC,±20%,
HHXC250ARA221MHA0G,United Chemi-Con,电容,,220uF,,25VDC,±20%,
HHXC160ARA470ME61G,United Chemi-Con,电容,,47uF,,16VDC,±20%,
HHXC350ARA151MJA0G,United Chemi-Con,电容,,150uF,,35VDC,±20%,
P295BJ182M500A,KEMET,电容,,1800pF,,1.5kVDC,±20%,
HHXC160ARA471MJA0G,United Chemi-Con,电容,,470uF,,16VDC,±20%,
PCR1J101MCL1GS,Nichicon,电容,,100uF,,63VDC,±20%,
PEH200YX460BQU2,KEMET,电容,,6000uF,,450VDC,"- 10 %, + 30 %",
B32564J1336K000,EPCOS / TDK,电容,,33uF,,100VDC,±10%,
B32921C3103M,EPCOS / TDK,电容,,0.01uF,,630VDC,±20%,
DEBB33D102KA2B,Murata Electronics,电容,,1000pF,,2kVDC,±10%,
DE1E3KX472MA4BN01F,Murata Electronics,电容,,4700pF,,,±20%,
B32922C3684M,EPCOS / TDK,电容,,0.68uF,,630VDC,±20%,
50SVPF10M,Panasonic,电容,,10uF,,50VDC,±20%,
LDECD4100KA0N00,KEMET,电容,,1uF,,50VDC,±10%,
B32924C3475M000,EPCOS / TDK,电容,,4.7uF,,630VDC,±20%,
HHXA350ARA680MF80G,United Chemi-Con,电容,,68uF,,35VDC,±20%,
168105J50G-F,Cornell Dubilier - CDE,电容,,1uF,,50VDC,±5%,
PCR1H181MCL1GS,Nichicon,电容,,180uF,,50VDC,±20%,
104M06QC100,Cornell Dubilier - CDE,电容,,0.1uF,,600VDC,±20%,
104MACQRL150,Cornell Dubilier - CDE,电容,,0.1uF,,200VDC,±20%,
KW-5R5C105-R,PowerStor / Eaton,电容,,1F,,5.5VDC,"- 20 %, + 80 %",
108CKE6R3M,Illinois Capacitor / CDE,电容,,1000uF,,6.3VDC,±20%,
107RSS025M,Illinois Capacitor / CDE,电容,,100uF,,25VDC,±20%,
B32671P4105K000,EPCOS / TDK,电容,,1uF,,450VDC,±10%,
LDEID3100KA0N00,KEMET,电容,,0.1uF,,250VDC,±10%,
HHXB350ARA470MF61G,United Chemi-Con,电容,,47uF,,35VDC,±20%,
PCR1E471MCL1GS,Nichicon,电容,,470uF,,25VDC,±20%,
KW-5R5C104-R,PowerStor / Eaton,电容,,100000uF,,5.5VDC,"- 20 %, + 80 %",
LDEEC3100KA5N00,KEMET,电容,,0.1uF,,100VDC,±10%,
LDEEE4100KA0N00,KEMET,电容,,1uF,,100VDC,±10%,
PCR1H121MCL2GS,Nichicon,电容,,120uF,,50VDC,±20%,
DE1E3KX472MB4BN01F,Murata Electronics,电容,,4700pF,,,±20%,
104M06QC150,Cornell Dubilier - CDE,电容,,0.1uF,,600VDC,±20%,
PCG1A101MCL1GS,Nichicon,电容,,100uF,,10VDC,±20%,
PCV1E221MCL2GS,Nichicon,电容,,220uF,,25VDC,±20%,
504M02QA220,Cornell Dubilier - CDE,电容,,0.5uF,,200VDC,±20%,
KW-5R5C684-R,PowerStor / Eaton,电容,,680000uF,,5.5VDC,"- 20 %, + 80 %",
PEH200YV4330MB2,KEMET,电容,,3300uF,,450VDC,±20%,
LDEDC3220JA5N00,KEMET,电容,,0.22uF,,63VDC,±5%,
504M02QA100,Cornell Dubilier - CDE,电容,,0.5uF,,200VDC,±20%,
HHXB500ARA330MF80G,United Chemi-Con,电容,,33uF,,50VDC,±20%,
106K050CS4G,Cornell Dubilier - CDE,电容,,10uF,,50VDC,±10%,
PCX1C470MCL1GS,Nichicon,电容,,47uF,,16VDC,±20%,
KVD101L105M55A0T00,United Chemi-Con,电容,,1uF,,100VDC,±20%,
PEH200OO427AMB2,KEMET,电容,,2700uF,,420VDC,±20%,
106K050CS4,Cornell Dubilier - CDE,电容,,10uF,,50VDC,±10%,
168224J50C-F,Cornell Dubilier - CDE,电容,,0.22uF,,50VDC,±5%,
B25667C3497A375,EPCOS / TDK,电容,,165uFx3,,,"- 5 %, + 10 %",
106K050CS4-FA,Cornell Dubilier - CDE,电容,,10uF,,50VDC,±10%,
B32922C3334K289,EPCOS / TDK,电容,,0.33uF,,630VDC,±10%,
168473J100C-F,Cornell Dubilier - CDE,电容,,0.047uF,,100VDC,±5%,
PEH200PV5470MU2,KEMET,电容,,47000uF,,100VDC,±20%,
PCG1A331MCL1GS,Nichicon,电容,,330uF,,10VDC,±20%,
LDEDD4100KA0N00,KEMET,电容,,1uF,,63VDC,±10%,
LDEDE4100KA5N00,KEMET,电容,,1uF,,63VDC,±10%,
PCJ1C121MCL1GS,Nichicon,电容,,120uF,,16VDC,±20%,
LDEEC2470JA5N00,KEMET,电容,,0.047uF,,100VDC,±5%,
168224J63C-F,Cornell Dubilier - CDE,电容,,0.22uF,,63VDC,±5%,
LDEEC3100JA5N00,KEMET,电容,,0.1uF,,100VDC,±5%,
LDEEF4100JA5N00,KEMET,电容,,1uF,,100VDC,±5%,
LDEEH4470KA5N00,KEMET,电容,,4.7uF,,100VDC,±10%,
PCS1C680MCL1GS,Nichicon,电容,,68uF,,16VDC,±20%,
LDEDE4150KA0N00,KEMET,电容,,1.5uF,,63VDC,±10%,
B32021A3152M,EPCOS / TDK,电容,,1500pF,,1.5kVDC,±20%,
LDEPD2100JA5N00,KEMET,电容,,0.01uF,,630VDC,±5%,
B32924C3565M000,EPCOS / TDK,电容,,5.6uF,,630VDC,±20%,
LDEDD3330JA5N00,KEMET,电容,,0.33uF,,63VDC,±5%,
B32654A2223J,EPCOS / TDK,电容,,0.022uF,,2kVDC,±5%,
106MWR100K,Illinois Capacitor / CDE,电容,,10uF,,100VDC,±10%,
LDEEE3470KA5N00,KEMET,电容,,0.47uF,,100VDC,±10%,
B81141C1474M000,EPCOS / TDK,电容,,0.47uF,,1kVDC,±20%,
LDECG4470KA0N00,KEMET,电容,,4.7uF,,50VDC,±10%,
PEH200KO6100MB2,KEMET,电容,,100000uF,,40VDC,±20%,
PCV1D101MCL2GS,Nichicon,电容,,100uF,,20VDC,±20%,
LDEDD4100JA0N00,KEMET,电容,,1uF,,63VDC,±5%,
LDEEF4220KA0N00,KEMET,电容,,2.2uF,,100VDC,±10%,
PCV1E271MCL2GS,Nichicon,电容,,270uF,,25VDC,±20%,
LDEPH3220KA5N00,KEMET,电容,,0.22uF,,630VDC,±10%,
PEH169HA460AQU2,KEMET,电容,,6000uF,,25VDC,,
PEH200MO5470MU2,KEMET,电容,,47000uF,,63VDC,±20%,
168334J63H-F,Cornell Dubilier - CDE,电容,,0.33uF,,63VDC,±5%,
B32529D225J289,EPCOS / TDK,电容,,2.2uF,,,±5%,
168683J63A-F,Cornell Dubilier - CDE,电容,,0.068uF,,63VDC,±5%,
B32776G1805K000,EPCOS / TDK,电容,,8uF,,1.3kVDC,±10%,
168222J100A-F,Cornell Dubilier - CDE,电容,,2200pF,,100VDC,±5%,
PEH200MV6100MU2,KEMET,电容,,100000uF,,63VDC,±20%,
PEH205KA4470QU0,KEMET,电容,,4700uF,,40VDC,"- 10 %, + 30 %",
PEH200MJ5220MU2,KEMET,电容,,22000uF,,63VDC,±20%,
LDEDD3680KA5N00,KEMET,电容,,0.68uF,,63VDC,±10%,
B25620B1487K101,EPCOS / TDK,电容,,480uF,,1.1kVDC,±10%,
PCV1V121MCL7GS,Nichicon,电容,,120uF,,35VDC,±20%,
LDEDG4470KA0N00,KEMET,电容,,4.7uF,,63VDC,±10%,
PCV1J270MCL2GS,Nichicon,电容,,27uF,,63VDC,±20%,
LDEMF3150JA5N00,KEMET,电容,,0.15uF,,400VDC,±5%,
PEH200MD5100MB2,KEMET,电容,,10000uF,,63VDC,±20%,
B32521C225J,EPCOS / TDK,电容,,2.2uF,,,±5%,
LDEQG2680KA5N00,KEMET,电容,,0.068uF,,1kVDC,±10%,
B32776G0146K000,EPCOS / TDK,电容,,14uF,,1.1kVDC,±10%,
PEH200MA4470MU2,KEMET,电容,,4700uF,,63VDC,±20%,
LDEDD3330KA5N00,KEMET,电容,,0.33uF,,63VDC,±10%,
LDEQG2470KA5N00,KEMET,电容,,0.047uF,,1kVDC,±10%,
LGG2E152MELC40,Nichicon,电容,,1500uF,,250VDC,±20%,
PCV1C681MCL2GS,Nichicon,电容,,680uF,,16VDC,±20%,
LDEPF3100KA0N00,KEMET,电容,,0.1uF,,630VDC,±10%,
PEH200VJ4100MU2,KEMET,电容,,1000uF,,400VDC,±20%,
PCV1D331MCL1GS,Nichicon,电容,,330uF,,20VDC,±20%,
PEH169MD4470QB2,KEMET,电容,,4700uF,,63VDC,"- 10 %, + 30 %",
PEH200SV5100MU2,KEMET,电容,,10000uF,,250VDC,±20%,
PEH169UA3100QU2,KEMET,电容,,100uF,,350VDC,"- 10 %, + 30 %",
PEH200MO5470MB2,KEMET,电容,,47000uF,,63VDC,±20%,
LDEID2680JA5N00,KEMET,电容,,0.068uF,,250VDC,±5%,
B32563J3225K000,EPCOS / TDK,电容,,2.2uF,,250VDC,±10%,
LDEMH3470KA5N00,KEMET,电容,,0.47uF,,400VDC,±10%,
107SVH016MER,Illinois Capacitor / CDE,电容,,100uF,,16VDC,±20%,
DEBB33D222KA2B,Murata Electronics,电容,,2200pF,,2kVDC,±10%,
B32922C3224M000,EPCOS / TDK,电容,,0.22uF,,630VDC,±20%,
B32922C3224K289,EPCOS / TDK,电容,,0.22uF,,630VDC,±10%,
B32529C1474J,EPCOS / TDK,电容,,0.47uF,,100VDC,±5%,
107KXM010M,Cornell Dubilier - CDE,电容,,100uF,,10VDC,±20%,
107CKS016M,Illinois Capacitor / CDE,电容,,100uF,,16VDC,±20%,
106CKH050M,Illinois Capacitor / CDE,电容,,10uF,,50VDC,±20%,
HMJ107BB7104KAHT,Taiyo Yuden,电容,,0.1uF,603,100VDC,±10%,
168104J50A-F,Cornell Dubilier - CDE,电容,,0.1uF,,50VDC,±5%,
108TTA035M,Illinois Capacitor / CDE,电容,,1000uF,,35VDC,±20%,
PCR1K680MCL1GS,Nichicon,电容,,68uF,,80VDC,±20%,
107TTA350M,Illinois Capacitor / CDE,电容,,100uF,,350VDC,±20%,
KW-5R5C334-R,PowerStor / Eaton,电容,,330000uF,,5.5VDC,"- 20 %, + 80 %",
107TTA450M,Illinois Capacitor / CDE,电容,,100uF,,450VDC,±20%,
104M06QC22,Cornell Dubilier - CDE,电容,,0.1uF,,600VDC,±20%,
25SVP56M,Panasonic,电容,,56uF,,25VDC,±20%,
B32529C1103J189,EPCOS / TDK,电容,,0.01uF,,100VDC,±5%,
B32921C3223M,EPCOS / TDK,电容,,0.022uF,,630VDC,±20%,
B32922C3224K189,EPCOS / TDK,电容,,0.22uF,,630VDC,±10%,
PCV1V101MCL1GS,Nichicon,电容,,100uF,,35VDC,±20%,
PCR1J680MCL1GS,Nichicon,电容,,68uF,,63VDC,±20%,
KW-5R5C224-R,PowerStor / Eaton,电容,,220000uF,,5.5VDC,"- 20 %, + 80 %",
25SEPF56M,Panasonic,电容,,56uF,,25VDC,±20%,
PCV1J560MCL2GS,Nichicon,电容,,56uF,,63VDC,±20%,
LDEPD2100KA5N00,KEMET,电容,,0.01uF,,630VDC,±10%,
50SVPF18M,Panasonic,电容,,18uF,,50VDC,±20%,
PCR1J470MCL1GS,Nichicon,电容,,47uF,,63VDC,±20%,
PCJ1C331MCL1GS,Nichicon,电容,,330uF,,16VDC,±20%,
PCR1V151MCL6GS,Nichicon,电容,,150uF,,35VDC,±20%,
B32529C3104J189,EPCOS / TDK,电容,,0.1uF,,250VDC,±5%,
NLW1810A,Cornell Dubilier - CDE,电容,,50uF,,50VDC,±20%,
104MWR400K,Illinois Capacitor / CDE,电容,,0.1uF,,400VDC,±10%,
104M06QC47,Cornell Dubilier - CDE,电容,,0.1uF,,600VDC,±20%,
P3F,Voltronics,电容,,,,,,
B32529D1105J289,EPCOS / TDK,电容,,1uF,,100VDC,±5%,
PCF1C331MCL1GS,Nichicon,电容,,330uF,,16VDC,±20%,
B32529D225J,EPCOS / TDK,电容,,2.2uF,,,±5%,
B32529C3104J,EPCOS / TDK,电容,,0.1uF,,250VDC,±5%,
B32922H3104M,EPCOS / TDK,电容,,0.1uF,,630VDC,±20%,
107RZM050M,Illinois Capacitor / CDE,电容,,100uF,,50VDC,±20%,
504M06QE150,Cornell Dubilier - CDE,电容,,0.5uF,,600VDC,±20%,
PB-5R0H105-R,PowerStor / Eaton,电容,,1F,,5VDC,"- 20 %, + 80 %",
25SVP10M,Panasonic,电容,,10uF,,25VDC,±20%,
PCF1C221MCL1GS,Nichicon,电容,,220uF,,16VDC,±20%,
PB-5R0H474-R,PowerStor / Eaton,电容,,470000uF,,5VDC,"- 20 %, + 80 %",
LDBCC3100GC5N0,KEMET,电容,,0.1uF,,50VDC,±2%,
PCV2B150MCL1GS,Nichicon,电容,,15uF,,125VDC,±20%,
PCR1C102MCL1GS,Nichicon,电容,,1000uF,,16VDC,±20%,
168103J100A-F,Cornell Dubilier - CDE,电容,,0.01uF,,100VDC,±5%,
PCS1A121MCL1GS,Nichicon,电容,,120uF,,10VDC,±20%,
PCV1V121MCL2GS,Nichicon,电容,,120uF,,35VDC,±20%,
105M02QB47,Cornell Dubilier - CDE,电容,,1uF,,200VDC,±20%,
B32529D6104J,EPCOS / TDK,电容,,0.1uF,,400VDC,±5%,
PCG0J272MCL1GS,Nichicon,电容,,2700uF,,6.3VDC,±20%,
B32922D3334K,EPCOS / TDK,电容,,0.33uF,,630VDC,±10%,
B81123C1102M189,EPCOS / TDK,电容,,1000pF,,3kVDC,±20%,
B32652A223J,EPCOS / TDK,电容,,0.022uF,,,±5%,
B32921C3103M189,EPCOS / TDK,电容,,0.01uF,,630VDC,±20%,
DEBE33F472ZN3A,Murata Electronics,电容,,4700pF,,3.15kVDC,±20%,
B32529D6104J289,EPCOS / TDK,电容,,0.1uF,,400VDC,±5%,
B32529D1105K,EPCOS / TDK,电容,,1uF,,100VDC,±10%,
PCX1V100MCL1GS,Nichicon,电容,,10uF,,35VDC,±20%,
B32021A3332M289,EPCOS / TDK,电容,,3300pF,,1.5kVDC,±20%,
B32652A6473J,EPCOS / TDK,电容,,0.047uF,,630VDC,±5%,
PCR1H820MCL1GS,Nichicon,电容,,82uF,,50VDC,±20%,
504M06QE100,Cornell Dubilier - CDE,电容,,0.5uF,,600VDC,±20%,
B32529C1474J289,EPCOS / TDK,电容,,0.47uF,,100VDC,±5%,
B32932A3473K,EPCOS / TDK,电容,,0.047uF,,-,±10%,
B32021A3472K000,EPCOS / TDK,电容,,4700pF,,1.5kVDC,±10%,
LDEDC3100KA5N00,KEMET,电容,,0.1uF,,63VDC,±10%,
B32672L1153J,EPCOS / TDK,电容,,0.015uF,,1.6kVDC,±5%,
PCV2A180MCL1GS,Nichicon,电容,,18uF,,100VDC,±20%,
B32656S1474K561,EPCOS / TDK,电容,,0.47uF,,1.6kVDC,±10%,
168102K100A-F,Cornell Dubilier - CDE,电容,,1000pF,,100VDC,±10%,
PCV1E121MCL6GS,Nichicon,电容,,120uF,,25VDC,±20%,
LDBCC3100JC5N0,KEMET,电容,,0.1uF,,50VDC,±5%,
B81141C1103M,EPCOS / TDK,电容,,0.01uF,,1kVDC,±20%,
PCF1C151MCL1GS,Nichicon,电容,,150uF,,16VDC,±20%,
B32671L472J,EPCOS / TDK,电容,,4700pF,,,±5%,
B32672L1223J,EPCOS / TDK,电容,,0.022uF,,1.6kVDC,±5%,
P295BE102M500A,KEMET,电容,,1000pF,,-,±20%,
LDECA2100JA0N00,KEMET,电容,,0.01uF,,50VDC,±5%,
