parnumber,maf,cat,cat3,cap,pkg,val,dff,
MP2105KGE4XLC,SRD,电容,,1uF,,275V,±10%,
MP1683KRC3RLC,SRD,电容,,68nF,,300V,±10%,
MP2154KGC3RLC,SRD,电容,,150nF,,275V,±10%,
MP1473KTD3RLC,SRD,电容,,47nF,,440V,±10%,
MP2683KGC2RLC,SRD,电容,,68nF,,275V,±10%,
MEX274K300A02,TENTA,电容,,10.27uF,,300V,,
MP2104KGC2XLC,SRD,电容,,100nF,,275V,±10%,
MP2223KGD1RLC,SRD,电容,,22nF,,275V,±10%,
B32922C3224K189,TDK,电容,,2220nF,,305V,±10%,
MP2334KVD2RLC,SRD,电容,,330nF,,320V,±10%,
B32652A2222J000,TDK,电容,,2200pF,,2KV,±5%,
B81123C1102M000,TDK,电容,,1nF,,,±20%,
MP1333KRC2RLC,SRD,电容,,33nF,,300V,±10%,
B32652A6104J289,TDK,电容,,100nF,,250V,±10%,
B32021A3682K289,TDK,电容,,6.8nF,,300V,±10%,
B32921C3103K000,TDK,电容,,10nF,,305V,±10%,
MP1224KRC3RLC,SRD,电容,,220nF,,300V,±10%,
MP2103KGC2RLC,SRD,电容,,10nF,,275V,±10%,
MP1473KTC3RLC,SRD,电容,,47nF,,440V,±10%,
MP2334KVCARLC,SRD,电容,,,,320V,,
MP2154KGC3XLC,SRD,电容,,150nF,,275V,±10%,
B32652A7223J189,TDK,电容,,22nF,,500V,±5%,
B32521C1105J289,TDK,电容,,1uF,,100V,±5%,
B32921C3683M289,TDK,电容,,268nF,,305V,±20%,
MP2472KGC2RLC,SRD,电容,,4.7nF,,275V,±10%,
DE1E3KX222MA4BN01F,Murata,电容,,2200pF,,250V,±20%,
MP1153KRC2RLC,SRD,电容,,15nF,,300V,±10%,
MEX334K300A04,TENTA,电容,,10.33uF,,300V,,
MP2334KGCASLC,SRD,电容,,330nF,,275V,±10%,
MP2224KGD2XLC,SRD,电容,,220nF,,275V,±10%,
MP2684KGF1RLC,SRD,电容,,680nF,,275V,±10%,
B32923D3334K189,TDK,电容,,2330nF,,305V,±10%,
MEY473K275A01,TENTA,电容,,20.047uF,,275VAC,,
MP2154KGD2RLC,SRD,电容,,150nF,,275V,±10%,
MEX104K275A41,TENTA,电容,,20.1uF,,275VAC,,
MP2333KGC1RLC,SRD,电容,,33nF,,275V,±10%,
B32923C3105M000,TDK,电容,,21uF,,305V,±20%,
MEY152K275A03,TENTA,电容,,21500pF,,275VAC,,
B32652A6224K000,TDK,电容,,220nF,,250V,±10%,
