AT89C51ED2-SMSUM,C51ED2 64kF PLCC68 3-5.5V Ind GREEN,AT89C51ED2-SMSUM,"最少订量: 18 订量单位: x18"
AT89C51IC2-RLRUL,C51IC2 32Kf I2C 32KHz VQFP44 I. 3V,AT89C51IC2-RLRUL,"最少订量: 1500 订量单位: x1500"
AT89C51IC2-RLRUM,C51IC2 32Kf I2C 32KHz VQFP44 I. 5V,AT89C51IC2-RLRUM,"最少订量: 1500 订量单位: x1500"
AT89C51IC2-RLTUL,C51IC2 32Kf I2C 32KHz VQFP44 I. 3V,AT89C51IC2-RLTUL,"最少订量: 160 订量单位: x160"
AT89C51IC2-RLTUM,C51IC2 32Kf I2C 32KHz VQFP44 I. 5V,AT89C51IC2-RLTUM,"最少订量: 160 订量单位: x160"
AT89C51IC2-SLRUL,C51IC2 32Kf I2C 32KHz PLCC44 I. 3V,AT89C51IC2-SLRUL,"最少订量: 500 订量单位: x500"
AT89C51IC2-SLRUM,C51IC2 32Kf I2C 32KHz PLCC44 I. 5V,AT89C51IC2-SLRUM,"最少订量: 500 订量单位: x500"
AT89C51IC2-SLSUL,C51IC2 32Kf I2C 32KHz PLCC44 I. 3V,AT89C51IC2-SLSUL,"最少订量: 27 订量单位: x27"
AT89C51IC2-SLSUM,C51IC2 32Kf I2C 32KHz PLCC44 C. 5V,AT89C51IC2-SLSUM,"最少订量: 27 订量单位: x27"
AT89C51RB2-3CSUL,C51RB2 FLASH 16k PDIL40 ind 3V Gree,AT89C51RB2-3CSUL,"最少订量: 10 订量单位: x10"
AT89C51RB2-3CSUM,C51RB2 FLASH 16k PDIL40 ind 5V Gree,AT89C51RB2-3CSUM,"最少订量: 9 订量单位: x9"
AT89C51RB2-RLRUL,C51RB2 FLASH 16k VQFP44 ind 3V GREE,AT89C51RB2-RLRUL,"最少订量: 1500 订量单位: x1500"
AT89C51RB2-RLTUL,C51RB2 FLASH 16k VQFP44 ind 3V GREE,AT89C51RB2-RLTUL,"最少订量: 160 订量单位: x160"
