PIC16LF1512-I/SP,"28-pin, 3.5KB Flash, 128B RAM, 10-b",PIC16LF1512-I/SP,"最少订量: 15 订量单位: x15"
PIC16LF1512-I/SS,"28-pin, 3.5KB Flash, 128B RAM, 10-b",PIC16LF1512-I/SS,"最少订量: 47 订量单位: x47"
PIC16LF1512T-I/MV,"28-pin, 3.5KB Flash, 128B RAM, 10-b",PIC16LF1512T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1512T-I/SO,"28-pin, 3.5KB Flash, 128B RAM, 10-b",PIC16LF1512T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1512T-I/SS,"28-pin, 3.5KB Flash, 128B RAM, 10-b",PIC16LF1512T-I/SS,"最少订量: 2100 订量单位: x2100"
PIC16LF1513-E/MV,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-E/MV,"最少订量: 91 订量单位: x91"
PIC16LF1513-E/SO,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-E/SO,"最少订量: 27 订量单位: x27"
PIC16LF1513-E/SP,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-E/SP,"最少订量: 15 订量单位: x15"
PIC16LF1513-E/SS,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-E/SS,"最少订量: 47 订量单位: x47"
PIC16LF1513-I/MV,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-I/MV,"最少订量: 91 订量单位: x91"
PIC16LF1513-I/SO,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-I/SO,"最少订量: 27 订量单位: x27"
PIC16LF1513-I/SP,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-I/SP,"最少订量: 15 订量单位: x15"
PIC16LF1513-I/SS,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513-I/SS,"最少订量: 47 订量单位: x47"
PIC16LF1513T-I/MV,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1513T-I/SO,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1513T-I/SS,"28-pin, 7KB Flash, 256B RAM, 10-bit",PIC16LF1513T-I/SS,"最少订量: 2100 订量单位: x2100"
PIC16LF1516-E/ML,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-E/ML,"最少订量: 61 订量单位: x61"
PIC16LF1516-E/MV,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-E/MV,"最少订量: 91 订量单位: x91"
PIC16LF1516-E/SO,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-E/SO,"最少订量: 27 订量单位: x27"
PIC16LF1516-E/SP,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-E/SP,"最少订量: 15 订量单位: x15"
PIC16LF1516-E/SS,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-E/SS,"最少订量: 47 订量单位: x47"
PIC16LF1516-I/ML,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-I/ML,"最少订量: 61 订量单位: x61"
PIC16LF1516-I/MV,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-I/MV,"最少订量: 91 订量单位: x91"
PIC16LF1516-I/SO,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-I/SO,"最少订量: 27 订量单位: x27"
PIC16LF1516-I/SP,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-I/SP,"最少订量: 15 订量单位: x15"
PIC16LF1516-I/SS,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516-I/SS,"最少订量: 47 订量单位: x47"
PIC16LF1516T-I/ML,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516T-I/ML,"最少订量: 1600 订量单位: x1600"
PIC16LF1516T-I/MV,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1516T-I/SO,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1516T-I/SS,"28-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1516T-I/SS,"最少订量: 2100 订量单位: x2100"
PIC16LF1517-E/MV,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-E/MV,"最少订量: 73 订量单位: x73"
PIC16LF1517-E/P,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-E/P,"最少订量: 10 订量单位: x10"
PIC16LF1517-E/PT,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-E/PT,"最少订量: 160 订量单位: x160"
PIC16LF1517-I/MV,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-I/MV,"最少订量: 73 订量单位: x73"
PIC16LF1517-I/P,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-I/P,"最少订量: 10 订量单位: x10"
PIC16LF1517-I/PT,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517-I/PT,"最少订量: 160 订量单位: x160"
PIC16LF1517T-I/MV,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1517T-I/PT,"40-pin, 14KB Flash, 512B RAM, 10-bi",PIC16LF1517T-I/PT,"最少订量: 1200 订量单位: x1200"
PIC16LF1518-E/ML,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-E/ML,"最少订量: 61 订量单位: x61"
PIC16LF1518-E/MV,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-E/MV,"最少订量: 91 订量单位: x91"
PIC16LF1518-E/SO,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-E/SO,"最少订量: 27 订量单位: x27"
PIC16LF1518-E/SP,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-E/SP,"最少订量: 15 订量单位: x15"
PIC16LF1518-E/SS,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-E/SS,"最少订量: 47 订量单位: x47"
PIC16LF1518-I/ML,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-I/ML,"最少订量: 61 订量单位: x61"
PIC16LF1518-I/MV,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-I/MV,"最少订量: 91 订量单位: x91"
PIC16LF1518-I/SO,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-I/SO,"最少订量: 27 订量单位: x27"
PIC16LF1518-I/SP,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-I/SP,"最少订量: 15 订量单位: x15"
PIC16LF1518-I/SS,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518-I/SS,"最少订量: 47 订量单位: x47"
PIC16LF1518T-I/ML,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518T-I/ML,"最少订量: 1600 订量单位: x1600"
PIC16LF1518T-I/MV,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1518T-I/SO,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1518T-I/SS,"28-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1518T-I/SS,"最少订量: 2100 订量单位: x2100"
PIC16LF1519-E/MV,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-E/MV,"最少订量: 73 订量单位: x73"
PIC16LF1519-E/P,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-E/P,"最少订量: 10 订量单位: x10"
PIC16LF1519-E/PT,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-E/PT,"最少订量: 160 订量单位: x160"
PIC16LF1519-I/MV,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-I/MV,"最少订量: 73 订量单位: x73"
PIC16LF1519-I/P,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-I/P,"最少订量: 10 订量单位: x10"
PIC16LF1519-I/PT,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519-I/PT,"最少订量: 160 订量单位: x160"
PIC16LF1519T-I/MV,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519T-I/MV,"最少订量: 3300 订量单位: x3300"
PIC16LF1519T-I/PT,"40-pin, 28KB Flash, 1024B RAM, 10-b",PIC16LF1519T-I/PT,"最少订量: 1200 订量单位: x1200"
PIC16LF1526-E/MR,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526-E/MR,"最少订量: 40 订量单位: x40"
PIC16LF1526-E/PT,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526-E/PT,"最少订量: 160 订量单位: x160"
PIC16LF1526-I/MR,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526-I/MR,"最少订量: 40 订量单位: x40"
PIC16LF1526-I/PT,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526-I/PT,"最少订量: 160 订量单位: x160"
PIC16LF1526T-I/MR,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526T-I/MR,"最少订量: 3300 订量单位: x3300"
PIC16LF1526T-I/PT,"64-pin, 14KB Flash, 768B RAM, 10-bi",PIC16LF1526T-I/PT,"最少订量: 1200 订量单位: x1200"
PIC16LF1527-E/MR,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527-E/MR,"最少订量: 40 订量单位: x40"
PIC16LF1527-E/PT,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527-E/PT,"最少订量: 160 订量单位: x160"
PIC16LF1527-I/MR,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527-I/MR,"最少订量: 40 订量单位: x40"
PIC16LF1527-I/PT,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527-I/PT,"最少订量: 160 订量单位: x160"
PIC16LF1527T-I/MR,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527T-I/MR,"最少订量: 3300 订量单位: x3300"
PIC16LF1527T-I/PT,"64-pin, 28KB Flash, 1536B RAM, 10-b",PIC16LF1527T-I/PT,"最少订量: 1200 订量单位: x1200"
PIC16LF1554-E/ML,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1554-E/P,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-E/P,"最少订量: 30 订量单位: x30"
PIC16LF1554-E/SL,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-E/SL,"最少订量: 57 订量单位: x57"
PIC16LF1554-E/ST,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-E/ST,"最少订量: 96 订量单位: x96"
PIC16LF1554-I/ML,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1554-I/P,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1554-I/SL,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1554-I/ST,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1554T-I/ML,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1554T-I/SL,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1554T-I/ST,"7KB Flash, 512B RAM, 12 I/Os, 2x 10",PIC16LF1554T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1559-E/GZ,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-E/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1559-E/ML,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1559-E/P,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-E/P,"最少订量: 22 订量单位: x22"
PIC16LF1559-E/SS,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-E/SS,"最少订量: 67 订量单位: x67"
PIC16LF1559-I/GZ,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-I/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1559-I/ML,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1559-I/P,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-I/P,"最少订量: 22 订量单位: x22"
PIC16LF1559-I/SS,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559-I/SS,"最少订量: 67 订量单位: x67"
PIC16LF1559T-I/GZ,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559T-I/GZ,"最少订量: 3300 订量单位: x3300"
PIC16LF1559T-I/ML,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1559T-I/SS,"14KB Flash, 512B RAM, 18 I/Os, 2x 1",PIC16LF1559T-I/SS,"最少订量: 1600 订量单位: x1600"
PIC16LF1574-E/JQ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-E/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1574-E/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1574-E/P,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-E/P,"最少订量: 30 订量单位: x30"
PIC16LF1574-E/SL,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-E/SL,"最少订量: 57 订量单位: x57"
PIC16LF1574-E/ST,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-E/ST,"最少订量: 96 订量单位: x96"
PIC16LF1574-I/JQ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-I/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1574-I/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1574-I/P,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1574-I/SL,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1574-I/ST,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1574T-I/JQ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574T-I/JQ,"最少订量: 3300 订量单位: x3300"
PIC16LF1574T-I/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1574T-I/SL,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1574T-I/ST,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1574T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1575-E/JQ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-E/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1575-E/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1575-E/P,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-E/P,"最少订量: 30 订量单位: x30"
PIC16LF1575-E/SL,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-E/SL,"最少订量: 57 订量单位: x57"
PIC16LF1575-E/ST,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-E/ST,"最少订量: 96 订量单位: x96"
PIC16LF1575-I/JQ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-I/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1575-I/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1575-I/P,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1575-I/SL,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1575-I/ST,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1575T-I/JQ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575T-I/JQ,"最少订量: 3300 订量单位: x3300"
PIC16LF1575T-I/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1575T-I/SL,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1575T-I/ST,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1575T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1578-E/GZ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-E/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1578-E/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1578-E/P,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-E/P,"最少订量: 22 订量单位: x22"
PIC16LF1578-E/SO,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-E/SO,"最少订量: 38 订量单位: x38"
PIC16LF1578-E/SS,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-E/SS,"最少订量: 67 订量单位: x67"
PIC16LF1578-I/GZ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-I/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1578-I/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1578-I/P,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-I/P,"最少订量: 22 订量单位: x22"
PIC16LF1578-I/SO,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-I/SO,"最少订量: 38 订量单位: x38"
PIC16LF1578-I/SS,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578-I/SS,"最少订量: 67 订量单位: x67"
PIC16LF1578T-I/GZ,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578T-I/GZ,"最少订量: 3300 订量单位: x3300"
PIC16LF1578T-I/ML,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1578T-I/SO,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1578T-I/SS,"7KB, 512B RAM, HEF, 16b PWM, Compar",PIC16LF1578T-I/SS,"最少订量: 1600 订量单位: x1600"
PIC16LF1579-E/GZ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-E/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1579-E/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1579-E/P,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-E/P,"最少订量: 22 订量单位: x22"
PIC16LF1579-E/SO,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-E/SO,"最少订量: 38 订量单位: x38"
PIC16LF1579-E/SS,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-E/SS,"最少订量: 67 订量单位: x67"
PIC16LF1579-I/GZ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-I/GZ,"最少订量: 91 订量单位: x91"
PIC16LF1579-I/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1579-I/P,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-I/P,"最少订量: 22 订量单位: x22"
PIC16LF1579-I/SO,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-I/SO,"最少订量: 38 订量单位: x38"
PIC16LF1579-I/SS,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579-I/SS,"最少订量: 67 订量单位: x67"
PIC16LF1579T-I/GZ,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579T-I/GZ,"最少订量: 3300 订量单位: x3300"
PIC16LF1579T-I/ML,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1579T-I/SO,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1579T-I/SS,"14KB, 1KB RAM, HEF, 16b PWM, Compar",PIC16LF1579T-I/SS,"最少订量: 1600 订量单位: x1600"
PIC16LF1613-E/ML,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1613-E/P,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-E/P,"最少订量: 30 订量单位: x30"
PIC16LF1613-E/SL,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-E/SL,"最少订量: 57 订量单位: x57"
PIC16LF1613-E/ST,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-E/ST,"最少订量: 96 订量单位: x96"
PIC16LF1613-I/ML,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1613-I/P,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1613-I/SL,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1613-I/ST,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1613T-I/ML,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1613T-I/SL,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1613T-I/ST,"3.5KB Flash, 256 RAM, 32MHz Int. Os",PIC16LF1613T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1614-I/P,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1614-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1614-I/SL,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1614-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1614-I/ST,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1614-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1614T-I/SL,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1614T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1614T-I/ST,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1614T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1615-E/JQ,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-E/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1615-E/ML,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-E/ML,"最少订量: 91 订量单位: x91"
PIC16LF1615-E/P,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-E/P,"最少订量: 30 订量单位: x30"
PIC16LF1615-E/ST,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-E/ST,"最少订量: 96 订量单位: x96"
PIC16LF1615-I/JQ,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-I/JQ,"最少订量: 91 订量单位: x91"
PIC16LF1615-I/ML,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1615-I/P,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-I/P,"最少订量: 30 订量单位: x30"
PIC16LF1615-I/SL,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-I/SL,"最少订量: 57 订量单位: x57"
PIC16LF1615-I/ST,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615-I/ST,"最少订量: 96 订量单位: x96"
PIC16LF1615T-I/JQ,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615T-I/JQ,"最少订量: 3300 订量单位: x3300"
PIC16LF1615T-I/ML,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1615T-I/SL,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615T-I/SL,"最少订量: 2600 订量单位: x2600"
PIC16LF1615T-I/ST,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1615T-I/ST,"最少订量: 2500 订量单位: x2500"
PIC16LF1618-I/ML,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618-I/ML,"最少订量: 91 订量单位: x91"
PIC16LF1618-I/P,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618-I/P,"最少订量: 22 订量单位: x22"
PIC16LF1618-I/SO,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618-I/SO,"最少订量: 38 订量单位: x38"
PIC16LF1618-I/SS,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618-I/SS,"最少订量: 67 订量单位: x67"
PIC16LF1618T-I/ML,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618T-I/ML,"最少订量: 3300 订量单位: x3300"
PIC16LF1618T-I/SO,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618T-I/SO,"最少订量: 1600 订量单位: x1600"
PIC16LF1618T-I/SS,"7KB Flash, 512 RAM, 32MHz Int. Osc,",PIC16LF1618T-I/SS,"最少订量: 1600 订量单位: x1600"
PIC16LF1619-I/ML,"14KB Flash, 1K RAM, 32MHz Int. Osc,",PIC16LF1619-I/ML,"最少订量: 91 订量单位: x91"
